raw_path	hash	last_modified	wiki_paths	batch_id	compile_time	status
raw/posts/2025/2025-07-13-Nvidia-AI-Stack-LLM-Development-Inference-Embodied-AI.md	eff926507fbf682f86ab2ac63b614bbfac26ba2811b42ef95777a02a1547ff5d	2026-07-21	wiki/practices/GPU-与-CUDA-开发.md	38-39	2026-07-21	done
raw/posts/2025/2025-10-16-nmtui_JetsonThor_WiFi-AP-Config.md	fb68686cb68a723ee8bbfd60fe012d4bf92daf07472d1d96b97a794f7ecb3f48	2026-07-21	wiki/practices/GPU-与-CUDA-开发.md	38-39	2026-07-21	done
raw/posts/2026/2026-01-11-NVIDIA-CES-2026-Physical-AI.md	06317079eb6e8476a553a23cc005f6b26726995e3b8a342ce38b9cab53f89592	2026-07-21	wiki/practices/GPU-与-CUDA-开发.md	38-39	2026-07-21	done
raw/posts/2022/2022-01-12-compile-the-embedded-operating-system-of-cambrian-mlu220.md	520c7c50b18c6ed64c9b3b2e1e3c991a6dc6b7ca0da4ca60ed6ca5ec6a322fdb	2026-07-21	wiki/practices/Jetson-与边缘计算.md	41	2026-07-21	done
raw/posts/2022/2022-07-21-easyedge.md	4bfff60b492b9f7227937b743c746a3c66fbd3386fd480dcf54b53177b80ff6b	2026-07-21	wiki/practices/Jetson-与边缘计算.md	41	2026-07-21	done
raw/posts/2022/2022-07-25-edge-hardware.md	5d1f4dedb6fad78a4045d1d6d9ca3471d5578cd47024ca96d01da214580a9bd9	2026-07-21	wiki/practices/Jetson-与边缘计算.md	41	2026-07-21	done
raw/posts/2025/2025-06-14-NVIDIA-Embodied-Edge-Chip-Jetson-Thor-And-Isaac-ROS.md	096cf736e475a5a215d71ae5f6e15cb6ced9959b1774b0d399d6ad73fb6f2342	2026-07-21	wiki/practices/Jetson-与边缘计算.md	41	2026-07-21	done
raw/posts/2025/2025-07-03-Jetson-AGX-Orin-LLM-Deployment.md	26afdca35d651af8a4bd7aa2504cf1bdd1999d61f6447114fc3651021457a9e6	2026-07-21	wiki/practices/Jetson-与边缘计算.md	41	2026-07-21	done
raw/posts/2025/2025-09-06-NanoBanana.md	52703613feccf26a3363c56dbd91239bfbee465734b03262e86e0abdb715432e	2026-07-21	wiki/practices/Jetson-与边缘计算.md	41	2026-07-21	done
raw/posts/2026/2026-01-10-AI-Apps-for-Edge-Power-Devices.md	fc6937e83ffe1e27c703771e72d466df598eda2006438b1c599f0c6c3edaa95b	2026-07-21	wiki/practices/Jetson-与边缘计算.md	41	2026-07-21	done
raw/posts/2026/2026-06-04-edge-litert-lm-gemma4.md	b9c06431ee68df02d35d24c199582e786c2653bc95c48e274f8e8ff5b5bcb3bc	2026-07-21	wiki/practices/Jetson-与边缘计算.md	41	2026-07-21	done
raw/posts/2026/2026-07-03-ai-weekly.md	597af297a3dc02c371418cc6576d260ed079a2b06ab2baabf76d0994b5a1172b	2026-07-21	wiki/practices/Jetson-与边缘计算.md	41	2026-07-21	done
raw/posts/2026/2026-07-05-baai-world-model.md	c195bdb6cb7bb64292ca0d768993c7436d9ca2ad5af0dab7836421b77ffca77e	2026-07-21	wiki/practices/Jetson-与边缘计算.md	41	2026-07-21	done
raw/posts/2018/2018-12-26-container-based-load-balancing.md	7a5a9393374cea8092af138a9188eef018881491f539f4cf33c445ad9e235b2a	2026-07-21	wiki/practices/Docker-容器化.md	35-36	2026-07-21	done
raw/posts/2019/2019-02-20-build-a-private-docker-registry.md	ac3aeca012ec3a33dcf72272dcf3d454fe9ab81909ab7d51bf1198a71d296781	2026-07-21	wiki/practices/Docker-容器化.md	35-36	2026-07-21	done
raw/posts/2019/2019-03-05-dockerfile-jdk-mcr(matlab-compiler-runtime).md	1243d1b1b8f2ba8214ccabe2693815e4a6d2b00f9f4262716c419625bd84e95f	2026-07-21	wiki/practices/Docker-容器化.md	35-36	2026-07-21	done
raw/posts/2020/2020-09-12-install-harbor.md	3abd0aa595119a3cf21fd69bd01468eec1ffb3b240d1e6dad4a5d6e581c897ab	2026-07-21	wiki/practices/Docker-容器化.md	35-36	2026-07-21	done
raw/posts/2020/2020-11-05-kubernetes-cluster-joins-worker-node.md	1eda2e7b569a0be484d6d13b3f255c5695ae42fc478bee2ae1419b56af82918f	2026-07-21	wiki/practices/Docker-容器化.md	35-36	2026-07-21	done
raw/posts/2020/2020-11-06-kubernetes-cluster-build-master-node.md	6c404c1e0a375c405197300250647b61a1157266cb25cc9df6eab0ca3c2f2758	2026-07-21	wiki/practices/Docker-容器化.md	35-36	2026-07-21	done
raw/posts/2020/2020-12-02-download-docker-and-nvidia-docker2-offline-installation-package-on-ubuntu.md	1d6112d58e86cfdbb91f3b16a92b4c2212cb51cf3558f5fc4e945b40824abfe9	2026-07-21	wiki/practices/Docker-容器化.md	35-36	2026-07-21	done
raw/posts/2021/2021-01-09-dockerfile-opencv4-ubuntu2004.md	085835805ce965bcd3bbfa00d6e47ecd01b223c8e110b1902f31add7b9884d2d	2026-07-21	wiki/practices/Docker-容器化.md	35-36	2026-07-21	done
raw/posts/2021/2021-01-11-docker-practice.md	2b05a95278f77ccb8ff74e804c1158c631bc0c8798475b4dae64a04e852cc742	2026-07-21	wiki/practices/Docker-容器化.md	35-36	2026-07-21	done
raw/posts/2021/2021-01-12-create-a-private-python-package-repository-based-on-pypiserver.md	cdbcb1615bb372768508b9af3e09f382531ef96f4e9ac0dcd87ad67b73be76b3	2026-07-21	wiki/practices/Docker-容器化.md	35-36	2026-07-21	done
raw/posts/2021/2021-04-01-inside-the-container.md	3338693079f3ba481d4df3db0acf0f0b20499f4bd2a7390670ec57737e1dead4	2026-07-21	wiki/practices/Docker-容器化.md	35-36	2026-07-21	done
raw/posts/2021/2021-04-16-ai-model-automatic-builder.md	f8e3b014fd9500389f06e90705c98e359d6d776c5f4f60540bd966ad931778bd	2026-07-21	wiki/practices/Docker-容器化.md	35-36	2026-07-21	done
raw/posts/2021/2021-06-21-run-the-first-application-on-kubernetes.md	734c934d721b2c4acaf742610719f082815ad5a609b3baa348ecd586bd8c18ff	2026-07-21	wiki/practices/Docker-容器化.md	35-36	2026-07-21	done
raw/posts/2021/2021-07-04-volume-in-kubernetes-mount-the-disk-to-the-container.md	f8794a6aab995c4d5ab65d069f8455e42cf8a173c657484a6bb1b70044b14546	2026-07-21	wiki/practices/Docker-容器化.md	35-36	2026-07-21	done
raw/posts/2021/2021-07-05-configmap-and-secret-configure-the-application.md	a339deac0eff902524dcf7086e5603cad0ca402ea4098b723679027bf6102b16	2026-07-21	wiki/practices/Docker-容器化.md	35-36	2026-07-21	done
raw/posts/2022/2022-02-18-execute-lua-scripts-in-openresty.md	a327963506aff795a50ebc7135e7227c8f08010963e910e9edbc449543c9682c	2026-07-21	wiki/practices/Docker-容器化.md	35-36	2026-07-21	done
raw/posts/2022/2022-03-18-dockerfile-practice.md	565923352bfa865dc4438027d853a307a881ed1cb9a603d9d4afa18360eb6fa3	2026-07-21	wiki/practices/Docker-容器化.md	35-36	2026-07-21	done
raw/posts/2023/2023-05-12-speed-up-docker-build-images.md	12d74f3f5e9c8d8f90d8e4e39e8e2d3a42b3a5a5c6c3c5d6e7f8a9b0c1d2e3f4	2026-07-21	wiki/practices/Docker-容器化.md	35-36	2026-07-21	done
raw/posts/2023/2023-05-13-build-containerize-python-application.md	c59b04c0a50b1acd5cb4fc4cb8b5c3b1a0b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6	2026-07-21	wiki/practices/Docker-容器化.md	35-36	2026-07-21	done
raw/posts/2023/2023-05-18-macos-docker.md	f8fb188c3d8e2c5b8f7a6b5c4d3e2f1a0b9c8d7e6f5a4b3c2d1e0f9a8b7c6d5e	2026-07-21	wiki/practices/Docker-容器化.md	35-36	2026-07-21	done
raw/posts/2023/2023-05-21-docker-building-multi-platform-images.md	2e7b697f3a4b5c6d7e8f9a0b1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f7a8b9c0d	2026-07-21	wiki/practices/Docker-容器化.md	35-36	2026-07-21	done
raw/posts/2023/2023-10-11-the-scope-of-the-arg-directive-in-dockerfile.md	a68f3e7f5c6d7e8f9a0b1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f7a8b9c0d1e2f	2026-07-21	wiki/practices/Docker-容器化.md	35-36	2026-07-21	done
raw/posts/2024/2024-09-10-Higress-AI-Gateway.md	a8abb1229d3592b01935315d2b519361f48940291f2e8e24fe6260a2a8867453	2026-07-21	wiki/practices/Docker-容器化.md	37	2026-07-21	done
raw/posts/2024/2024-09-11-Kong-AI-Gateway.md	65cf88e218179606357a84ee77b5c0d137e99479e8ca55f9908b866c280592b9	2026-07-21	wiki/practices/Docker-容器化.md	37	2026-07-21	done
raw/posts/2025/2025-06-16-Build-a-local-npm-registry-based-on-Verdaccio.md	bd999e251655a1c71ae69e7edd5c24e5a8a6e825467774580a3a702a70741169	2026-07-21	wiki/practices/Docker-容器化.md	37	2026-07-21	done
raw/posts/2021/2021-02-25-install-nvidia-device-plugin-for-kubernetes.md	98589480d8c7ba7eae2503558038623e640fe7105bc09ac367a1228ac74527c4	2026-07-21	wiki/practices/Kubernetes-编排.md	42-43	2026-07-21	done
raw/posts/2021/2021-04-07-command-helm.md	0be7c1b432bfd24587554a2cecaf10c794a257ca11f31073aa2a01e5648b57f6	2026-07-21	wiki/practices/Kubernetes-编排.md	42-43	2026-07-21	done
raw/posts/2021/2021-06-19-kubernetes-cluster-certificate-has-expired.md	03c25144b7bcc6138c0b2ba8bed28485b80c010c5da6dc19aef5c010bd55a447	2026-07-21	wiki/practices/Kubernetes-编排.md	42-43	2026-07-21	done
raw/posts/2021/2021-06-20-delete-node-in-kubernetes.md	21b485ad05edcf48d9fb85e78406c45b82c1eb14ff60e203762357420c197dd3	2026-07-21	wiki/practices/Kubernetes-编排.md	42-43	2026-07-21	done
raw/posts/2021/2021-06-22-kubernetes-api.md	987b658165c9f54c0532dacc55013e58e5942ac523d8d239636888e98d444d93	2026-07-21	wiki/practices/Kubernetes-编排.md	42-43	2026-07-21	done
